ID,medv
3,30.59959405227654
6,25.100459076053326
8,18.158993285760783
9,9.303476463337898
10,17.689729148703144
18,16.651820924942527
20,18.518821285635212
25,15.237934776774352
26,12.77539026027851
27,15.094800425371702
29,19.328575452418626
30,20.76039670293557
33,7.256504073899457
34,13.67526200161118
36,23.769684759160207
37,22.16124318951935
38,23.23698123325127
42,28.24020487595906
49,6.9519215784516355
53,27.572127257248003
60,20.945918144799062
63,23.884161130152854
70,20.517307878470785
72,21.718631580230635
79,20.926500208333184
80,22.504872354729027
83,26.037675044370012
92,27.137015457615625
93,29.18599822851361
96,28.343453011772517
98,35.620312129003814
99,35.209705956271435
100,32.03584104602013
105,21.36328230507441
106,18.15874459434867
111,20.689680257559637
113,20.21639887236779
114,20.067335661919362
116,19.80862845095008
126,22.80952871347269
130,14.242513107436288
131,20.555144198495658
133,20.6791875913714
136,17.47377758228106
141,13.275689767999346
144,11.766252873779834
145,8.095366647101656
147,15.518474057284742
152,18.62611877538388
153,21.69568429790006
156,20.962293137090846
158,33.668353993093795
163,42.310093061203986
169,26.239203344805127
185,21.98840174798385
186,24.156770685030892
189,32.20837755572531
196,40.51664053400115
197,35.35519511984747
199,33.70726511422851
200,29.788925089098942
203,36.76125057104493
208,17.133132123981433
210,16.938367567216147
211,22.758233796586083
213,23.42171225791185
216,24.619864530016685
218,28.277530056109974
219,25.34688275598686
220,30.62695440478469
221,34.03164694511136
229,35.91316055919247
232,33.32124548996236
238,32.82912131962323
239,28.24274687586032
240,28.048332667287973
242,22.896230317536002
246,12.236082440738272
248,19.215882223246634
253,25.08367276302422
255,23.316907869932542
256,20.92075871427897
257,37.29793119276338
258,43.184896056902424
259,36.1319008089931
260,34.73702030862415
268,40.46392133116586
270,26.354459254141712
271,21.973801906009328
276,34.078300894383425
277,36.653108067346
278,36.158843631448875
279,30.39602607153827
281,38.461158561204435
288,26.69109246331795
290,26.354941306029072
292,34.72377855306292
295,24.11382064942429
296,28.454909209002402
299,28.55199639539754
300,31.39934368028405
301,30.012706918624296
308,32.64273106999023
314,25.663866627409035
315,25.444796589660506
320,21.176328650817815
322,25.081734092350153
323,23.05249877507152
324,19.19553032348903
327,24.027879652279722
330,23.95933163482761
332,19.294968163553964
333,22.935076716526815
336,20.813093513313873
338,19.180617631555677
346,15.877283251778056
347,13.890908225610112
351,20.068447597008344
352,19.92549671462986
354,24.831850339336345
355,14.085510691495628
356,16.532089147319912
362,19.86883579950591
364,22.317761799444717
365,40.05409118482831
370,35.36830525340498
376,27.076617073007007
379,17.094811311693338
380,17.89872900818311
381,19.74471523695506
382,19.471968002332396
386,8.495188429769733
389,6.701479353070432
391,18.080965821885364
394,21.335203163441953
396,21.223911268788665
398,17.024790519571535
400,10.932223598039595
403,18.953850339510957
405,9.315538948527173
406,12.006423558873617
407,9.191303350978117
410,20.190730938408123
411,17.961931045152472
412,16.832165604175728
413,0.9272752505201964
417,12.871060002289124
421,20.67436917526307
422,18.964914564805973
423,19.5346342457342
424,12.525306940166423
427,16.697773031240793
431,18.128604795786845
436,13.36956675903097
437,14.933235437820205
439,4.193313804379141
447,18.331287128957754
450,17.720433896814598
451,16.403255489084113
455,15.215037191421082
457,12.397221245903285
471,20.68477481090602
474,26.56934601359909
476,15.928474277013073
483,29.73725305580026
486,23.214957354702165
490,7.741832277215572
495,20.75407170850351
496,16.76329401897431
497,13.415179318585107
499,21.361445982222563
501,20.341302321087596
505,26.67548780754204
